frame,object,object_id,object_label,confidence,tracking_state,x,y,z,vx,xy,vz,width,height,length
103,0,6,Person,93.06641,OK,-0.57571,0.19762,4.44497,0.09005,-0.03260,1.52408,0.67718,1.24383,0.67718
103,1,1,Person,53.22266,OK,12.74466,-0.23233,29.84103,0.23785,0.00382,-0.12328,0.72055,1.54084,0.72055
104,0,6,Person,92.91992,OK,-0.57869,0.20161,4.49573,0.07029,-0.03276,1.52340,0.67362,1.25704,0.67362
104,1,1,Person,51.17188,OK,12.75567,-0.23131,29.84533,0.23512,0.00278,-0.07645,0.70302,1.54021,0.70301
105,0,6,Person,92.77344,OK,-0.58300,0.20576,4.54238,0.04861,-0.03261,1.50608,0.66936,1.26995,0.66936
105,1,1,Person,45.23926,OK,12.76716,-0.23072,29.86303,0.23092,0.00158,-0.01931,0.69600,1.53799,0.69600
106,0,6,Person,92.43164,OK,-0.58923,0.21007,4.59308,0.02370,-0.03242,1.50969,0.66641,1.28254,0.66641
106,1,1,Person,42.62695,OK,12.77837,-0.23030,29.87016,0.24129,0.00187,-0.03111,0.67916,1.53517,0.67915
107,0,6,Person,91.60156,OK,-0.59669,0.21461,4.64049,0.00175,-0.03240,1.49678,0.66013,1.29482,0.66013
107,1,1,Person,43.87207,OK,12.78213,-0.23023,29.87688,0.20931,0.00138,-0.01440,0.69960,1.52967,0.69960
108,0,6,Person,91.21094,OK,-0.60431,0.21943,4.68238,-0.01480,-0.03182,1.46496,0.65061,1.30675,0.65061
108,1,1,Person,38.96484,OK,12.79752,-0.23060,29.90343,0.24069,0.00013,0.05090,0.68419,1.52183,0.68419
109,0,6,Person,91.21094,OK,-0.61218,0.22445,4.72303,-0.03140,-0.03112,1.43672,0.64183,1.31850,0.64183
109,1,1,Person,41.40625,OK,12.80795,-0.23146,29.90088,0.26058,0.00242,-0.05176,0.69802,1.51331,0.69802
110,0,6,Person,91.35742,OK,-0.62033,0.22957,4.76803,-0.04755,-0.03116,1.43130,0.63298,1.33023,0.63298
110,1,1,Person,42.43164,OK,12.81048,-0.23324,29.89928,0.21721,0.00148,-0.01749,0.72359,1.50562,0.72360
111,0,6,Person,91.40625,OK,-0.62821,0.23486,4.81169,-0.06019,-0.03085,1.41556,0.62406,1.34176,0.62406
111,1,1,Person,36.93848,OK,12.82121,-0.23558,29.91068,0.23396,0.00025,0.04343,0.72454,1.49776,0.72455
112,0,6,Person,91.50391,OK,-0.63471,0.24009,4.86549,-0.06482,-0.03165,1.44530,0.61580,1.35363,0.61580
112,1,1,Person,33.10547,OK,12.84767,-0.23798,29.90996,0.31525,0.00179,-0.01005,0.70975,1.49014,0.70976
113,0,6,Person,92.04102,OK,-0.64023,0.24531,4.92269,-0.06831,-0.03230,1.47456,0.61102,1.36572,0.61102
113,1,1,Person,27.97852,OK,12.86936,-0.24061,29.91308,0.32355,0.00139,0.01210,0.68511,1.48378,0.68511
114,0,6,Person,91.89453,OK,-0.64495,0.25046,4.98386,-0.07044,-0.03328,1.51393,0.60825,1.37816,0.60825
114,1,1,Person,23.86475,OK,12.89384,-0.24397,29.92837,0.34459,0.00048,0.05760,0.66582,1.47729,0.66583
115,0,6,Person,92.04102,OK,-0.64931,0.25558,5.04102,-0.07384,-0.03367,1.53014,0.60606,1.39083,0.60606
115,1,1,Person,27.27051,OK,12.92715,-0.24800,29.97234,0.38044,-0.00127,0.14284,0.65321,1.47071,0.65321
116,0,6,Person,92.04102,OK,-0.65327,0.26055,5.09859,-0.07554,-0.03397,1.54958,0.60513,1.40342,0.60513
116,1,1,Person,29.66309,OK,12.95835,-0.25278,30.05401,0.38257,-0.00402,0.27682,0.64257,1.46342,0.64257
