frame,object,object_id,object_label,confidence,tracking_state,x,y,z,vx,xy,vz,width,height,length
90,1,1,Person,67.48047,OK,12.58985,-0.25617,29.77074,0.05851,0.00683,-0.29535,0.73046,1.52146,0.73046
91,0,0,Person,93.35938,OK,-0.60456,0.13114,3.83870,0.32696,-0.03075,1.48020,0.60394,0.98183,0.60394
91,1,1,Person,69.43359,OK,12.59828,-0.25373,29.76128,0.04485,0.00676,-0.29836,0.72854,1.52458,0.72854
92,0,0,Person,93.65234,OK,-0.59346,0.13510,3.87704,0.32570,-0.03008,1.44041,0.62754,0.99661,0.62754
92,1,1,Person,65.13672,OK,12.60610,-0.25116,29.75331,0.05585,0.00676,-0.29425,0.72526,1.52691,0.72526
93,0,0,Person,94.04297,OK,-0.58337,0.13938,3.91470,0.32166,-0.02957,1.40546,0.65089,1.01101,0.65089
93,1,1,Person,59.27734,OK,12.60951,-0.24870,29.73808,0.04802,0.00721,-0.31353,0.72223,1.52792,0.72223
94,0,0,Person,94.38477,OK,-0.57633,0.14379,3.95890,0.30578,-0.02965,1.40329,0.66989,1.02519,0.66989
94,1,1,Person,57.56836,OK,12.61242,-0.24653,29.73767,0.03697,0.00599,-0.26224,0.71755,1.52967,0.71755
95,0,0,Person,93.94531,OK,-0.57236,0.14834,4.00848,0.28226,-0.03005,1.41576,0.68406,1.03944,0.68406
95,1,1,Person,59.17969,OK,12.61238,-0.24434,29.73034,0.01831,0.00624,-0.27669,0.71645,1.53124,0.71645
96,0,0,Person,93.99414,OK,-0.56995,0.15295,4.06149,0.26031,-0.03060,1.43520,0.69256,1.05376,0.69256
96,1,1,Person,56.78711,OK,12.61224,-0.24227,29.72212,0.01518,0.00623,-0.27652,0.72252,1.53240,0.72252
97,0,0,Person,93.94531,OK,-0.56864,0.15749,4.11861,0.23833,-0.03135,1.46704,0.69586,1.06830,0.69586
97,1,1,Person,54.00391,OK,12.61431,-0.24040,29.72366,0.02563,0.00515,-0.22679,0.72765,1.53424,0.72765
98,0,0,Person,94.33594,OK,-0.56824,0.16197,4.17653,0.21526,-0.03202,1.49385,0.69402,1.08322,0.69402
98,1,1,Person,50.78125,OK,12.62072,-0.23864,29.72385,0.05806,0.00535,-0.22897,0.73420,1.53524,0.73420
99,0,0,Person,94.14062,OK,-0.56920,0.16637,4.23413,0.18370,-0.03280,1.51683,0.69065,1.09843,0.69065
99,1,1,Person,49.31641,OK,12.62517,-0.23687,29.71889,0.05994,0.00573,-0.24515,0.73994,1.53639,0.73994
100,0,0,Person,93.89648,OK,-0.57049,0.17080,4.28725,0.15675,-0.03280,1.51900,0.68556,1.11387,0.68556
100,1,1,Person,56.59180,OK,12.62986,-0.23493,29.69272,0.08273,0.00726,-0.31022,0.74591,1.53828,0.74591
101,0,0,Person,93.31055,OK,-0.57169,0.17517,4.34229,0.13216,-0.03320,1.53316,0.68041,1.12959,0.68041
101,1,1,Person,55.81055,OK,12.63745,-0.23294,29.67826,0.10137,0.00717,-0.30175,0.74794,1.53965,0.74794
102,0,0,Person,93.26172,OK,-0.57284,0.17949,4.39460,0.11070,-0.03285,1.53365,0.67805,1.14549,0.67805
102,1,1,Person,58.59375,OK,12.65563,-0.23110,29.67542,0.15093,0.00674,-0.27616,0.73837,1.54082,0.73837
103,0,0,Person,93.06641,OK,-0.57506,0.18384,4.44442,0.08918,-0.03264,1.52596,0.67704,1.16138,0.67704
103,1,1,Person,53.61328,OK,12.65999,-0.22969,29.67633,0.10153,0.00563,-0.23725,0.71722,1.53887,0.71722
104,0,0,Person,92.96875,OK,-0.57821,0.18823,4.49510,0.07004,-0.03278,1.52457,0.67350,1.17705,0.67350
104,1,1,Person,50.87891,OK,12.66420,-0.22870,29.68034,0.08865,0.00425,-0.17611,0.69970,1.53802,0.69970
105,0,0,Person,92.82227,OK,-0.58269,0.19279,4.54175,0.04832,-0.03263,1.50713,0.66926,1.19236,0.66926
105,1,1,Person,45.14160,OK,12.67484,-0.22817,29.70085,0.03686,0.00356,-0.15458,0.69211,1.53552,0.69211
106,0,0,Person,92.43164,OK,-0.58903,0.19749,4.59242,0.02356,-0.03244,1.51058,0.66639,1.20727,0.66639
106,1,1,Person,42.62695,OK,12.68999,-0.22782,29.71794,0.03981,0.00379,-0.16695,0.67573,1.53257,0.67573
107,0,0,Person,91.65039,OK,-0.59658,0.20242,4.63958,0.00157,-0.03240,1.49657,0.66012,1.22179,0.66012
107,1,1,Person,43.96973,OK,12.69550,-0.22781,29.73779,0.02798,0.00268,-0.11735,0.69617,1.52700,0.69618
108,0,0,Person,91.25977,OK,-0.60436,0.20761,4.68172,-0.01547,-0.03185,1.46593,0.65058,1.23591,0.65058
108,1,1,Person,38.86719,OK,12.71943,-0.22830,29.78000,0.04033,0.00387,-0.16913,0.68037,1.51918,0.68037
109,0,0,Person,91.21094,OK,-0.61238,0.21300,4.72232,-0.03229,-0.03113,1.43715,0.64180,1.24976,0.64180
109,1,1,Person,41.47949,OK,12.73812,-0.22935,29.77825,0.05037,0.00480,-0.21123,0.69422,1.51068,0.69422
110,0,0,Person,91.35742,OK,-0.62058,0.21848,4.76697,-0.04823,-0.03114,1.43028,0.63295,1.26354,0.63295
110,1,1,Person,42.62695,OK,12.73941,-0.23129,29.77938,0.03471,0.00332,-0.14557,0.71906,1.50286,0.71906
111,0,0,Person,91.35742,OK,-0.62842,0.22411,4.81043,-0.06032,-0.03082,1.41417,0.62400,1.27707,0.62401
111,1,1,Person,36.93848,OK,12.75218,-0.23376,29.79744,0.04265,0.00408,-0.17887,0.72011,1.49499,0.72011
